[0.0*x+0.0, 0.0*x+0.0] 			 -> 	 [1.000000, 1.000000]
[0.0*x+0.0, 0.05*x+0.0] 			 -> 	 [1.000000, 0.000000]
[0.0*x+0.0, 0.1*x+0.0] 			 -> 	 [0.500000, 0.500000]
[0.0*x+0.0, -0.05*x+0.5] 			 -> 	 [0.500000, 0.500000]
[0.0*x+0.0, 0.0*x+0.5] 			 -> 	 [1.000000, 0.000000]
[0.0*x+0.0, 0.05*x+0.5] 			 -> 	 [0.500000, 0.500000]
[0.0*x+0.0, -0.1*x+1.0] 			 -> 	 [0.000000, 1.000000]
[0.0*x+0.0, -0.05*x+1.0] 			 -> 	 [0.500000, 0.500000]
[0.0*x+0.0, 0.0*x+1.0] 			 -> 	 [0.000000, 1.000000]
[0.05*x+0.0, 0.0*x+0.0] 			 -> 	 [0.000000, 1.000000]
[0.05*x+0.0, 0.05*x+0.0] 			 -> 	 [1.000000, 1.000000]
[0.05*x+0.0, 0.1*x+0.0] 			 -> 	 [1.000000, 0.000000]
[0.05*x+0.0, -0.05*x+0.5] 			 -> 	 [0.500000, 0.500000]
[0.05*x+0.0, 0.0*x+0.5] 			 -> 	 [1.000000, 0.000000]
[0.05*x+0.0, 0.05*x+0.5] 			 -> 	 [1.000000, 0.000000]
[0.05*x+0.0, -0.1*x+1.0] 			 -> 	 [0.000000, 1.000000]
[0.05*x+0.0, -0.05*x+1.0] 			 -> 	 [0.000000, 1.000000]
[0.05*x+0.0, 0.0*x+1.0] 			 -> 	 [0.000000, 1.000000]
[0.1*x+0.0, 0.0*x+0.0] 			 -> 	 [0.500000, 0.500000]
[0.1*x+0.0, 0.05*x+0.0] 			 -> 	 [0.000000, 1.000000]
[0.1*x+0.0, 0.1*x+0.0] 			 -> 	 [1.000000, 1.000000]
[0.1*x+0.0, -0.05*x+0.5] 			 -> 	 [1.000000, 0.000000]
[0.1*x+0.0, 0.0*x+0.5] 			 -> 	 [1.000000, 0.000000]
[0.1*x+0.0, 0.05*x+0.5] 			 -> 	 [1.000000, 0.000000]
[0.1*x+0.0, -0.1*x+1.0] 			 -> 	 [0.500000, 0.500000]
[0.1*x+0.0, -0.05*x+1.0] 			 -> 	 [0.000000, 1.000000]
[0.1*x+0.0, 0.0*x+1.0] 			 -> 	 [0.000000, 1.000000]
[-0.05*x+0.5, 0.0*x+0.0] 			 -> 	 [0.500000, 0.500000]
[-0.05*x+0.5, 0.05*x+0.0] 			 -> 	 [0.500000, 0.500000]
[-0.05*x+0.5, 0.1*x+0.0] 			 -> 	 [0.000000, 1.000000]
[-0.05*x+0.5, -0.05*x+0.5] 			 -> 	 [0.000000, 0.000000]
[-0.05*x+0.5, 0.0*x+0.5] 			 -> 	 [0.500000, 0.500000]
[-0.05*x+0.5, 0.05*x+0.5] 			 -> 	 [0.000000, 1.000000]
[-0.05*x+0.5, -0.1*x+1.0] 			 -> 	 [0.000000, 1.000000]
